date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:39:16	5946/5946	---MCZ	200	added ('OK')	application/javascript	etag:W/%22173a-17643f298c8%22	https://support.makerbot.com/js/support-c34700ae38.js	C:/Users/EXC_TECH/Downloads/mkaerbot/support.makerbot.com/js/support-c34700ae38.js	(from https://support.makerbot.com/)
17:39:17	338037/338037	---MCZ	200	added ('OK')	application/javascript	etag:W/%2252875-171124e3ed0%22	https://assets.makerbot.com/js/bundle.js	C:/Users/EXC_TECH/Downloads/mkaerbot/assets.makerbot.com/js/bundle.js	(from https://support.makerbot.com/)
17:39:17	109352/109352	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%221ab28-17643eff118%22	https://support.makerbot.com/fonts/6841ea7e-7df2-4d29-ac3a-d39bf8f8be01-2.eot?	C:/Users/EXC_TECH/Downloads/mkaerbot/support.makerbot.com/fonts/6841ea7e-7df2-4d29-ac3a-d39bf8f8be01-2d41d.eot	(from https://support.makerbot.com/css/styles-53b0846922.css)
17:39:17	55840/55840	---M--	200	added ('OK')	font/woff	etag:W/%22da20-17643eff118%22	https://support.makerbot.com/fonts/6841ea7e-7df2-4d29-ac3a-d39bf8f8be01-3.woff	C:/Users/EXC_TECH/Downloads/mkaerbot/support.makerbot.com/fonts/6841ea7e-7df2-4d29-ac3a-d39bf8f8be01-3.woff	(from https://support.makerbot.com/css/styles-53b0846922.css)
17:39:18	109136/109136	---M--	200	added ('OK')	font/ttf	etag:W/%221aa50-17643eff118%22	https://support.makerbot.com/fonts/6841ea7e-7df2-4d29-ac3a-d39bf8f8be01-1.ttf	C:/Users/EXC_TECH/Downloads/mkaerbot/support.makerbot.com/fonts/6841ea7e-7df2-4d29-ac3a-d39bf8f8be01-1.ttf	(from https://support.makerbot.com/css/styles-53b0846922.css)
17:39:18	111536/111536	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%221b3b0-17643eff118%22	https://support.makerbot.com/fonts/aa85be47-60cd-417d-a69a-3e85b97e0217-2.eot?	C:/Users/EXC_TECH/Downloads/mkaerbot/support.makerbot.com/fonts/aa85be47-60cd-417d-a69a-3e85b97e0217-2d41d.eot	(from https://support.makerbot.com/css/styles-53b0846922.css)
17:39:18	55472/55472	---M--	200	added ('OK')	font/woff	etag:W/%22d8b0-17643eff118%22	https://support.makerbot.com/fonts/aa85be47-60cd-417d-a69a-3e85b97e0217-3.woff	C:/Users/EXC_TECH/Downloads/mkaerbot/support.makerbot.com/fonts/aa85be47-60cd-417d-a69a-3e85b97e0217-3.woff	(from https://support.makerbot.com/css/styles-53b0846922.css)
17:39:19	129596/129596	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%221fa3c-17643eff118%22	https://support.makerbot.com/fonts/59731b29-fcd3-4fb6-89f4-5a999a40014c-2.eot?	C:/Users/EXC_TECH/Downloads/mkaerbot/support.makerbot.com/fonts/59731b29-fcd3-4fb6-89f4-5a999a40014c-2d41d.eot	(from https://support.makerbot.com/css/styles-53b0846922.css)
17:39:19	65511/65511	---M--	200	added ('OK')	font/woff	etag:W/%22ffe7-17643eff118%22	https://support.makerbot.com/fonts/59731b29-fcd3-4fb6-89f4-5a999a40014c-3.woff	C:/Users/EXC_TECH/Downloads/mkaerbot/support.makerbot.com/fonts/59731b29-fcd3-4fb6-89f4-5a999a40014c-3.woff	(from https://support.makerbot.com/css/styles-53b0846922.css)
17:39:19	111320/111320	---M--	200	added ('OK')	font/ttf	etag:W/%221b2d8-17643eff118%22	https://support.makerbot.com/fonts/aa85be47-60cd-417d-a69a-3e85b97e0217-1.ttf	C:/Users/EXC_TECH/Downloads/mkaerbot/support.makerbot.com/fonts/aa85be47-60cd-417d-a69a-3e85b97e0217-1.ttf	(from https://support.makerbot.com/css/styles-53b0846922.css)
